科目\时间,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
管理费用(元),1780457948.16,6789844289.39,4549515642.78,2972613711.83,1559853186,6167982844.22,4139407936.02,2715858665.11,1456803021.01,5325940762.24,3684290694.19,2453146603.41,1201491575.54,4701795567.31,3103772692.91,2032246237.88,1122230514.33,4187189840.42,2786104248.79,1859591870.32,905013030.88,3812852076.19,2592580782.23,1827131652.26,919920409,3378499544.59,2336957697.64,1492808431.34,730947216.88,2834740716,1743433452.38,1151877819.89,558440922.02,2204190581.13,1288134049.01,831662727.75,459827167.05,1673872427.75,1001317983.56,642955797.35,354029240.72,1346014202.04,851216571.01,560864374.55,309690750.83,1217158463.04,733148103.43,463903828.95,222527985.93,941174062.44
研发费用(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(元),-136091144.09,-234610582.44,-155303715.07,-72845014.14,-5135087,7458015.66,-541979.58,-1912781.6,-337499.25,-3521209.23,-4384064.29,-4224584.95,-3460582.58,-55722346.19,-39273204.75,-37505205.88,-29494286.28,-33175188.52,-1302024,-12226120.6,-3031403.42,-67266800.97,-52132054.3,-18995600.11,-6472977.66,-123168793.84,-95772137.58,-53889235.74,-24123220.32,-429074364.68,-343826830.68,-238790533.41,-114519214.53,-420975922.49,-297465187.52,-187200820.61,-97318786.08,-350751496.92,-217813505.32,-148888545.19,-53473692.27,-176577024.91,-137330593.52,-99774773.51,-46248011.12,-133636115.78,-90429443.69,-87784729.51,-81307397.08,-102500765.33
三、营业利润(元),19714061303.51,66635079882.38,47985820569.68,32080914607.01,18560620625.58,59041489276.14,43312307349.4,28397996330.73,15996222276.98,51342987681.18,35837919227.6,22879895820.5,12177678392.96,38940007533.45,28636943385.35,16123769916.27,8790152762.56,24265625169.42,18149578203.43,12760123468.86,7202563107.21,22158991962.87,16294979247.55,11151613884.9,6204332019.73,22102973250.9,15316444738.3,10250976984.1,5319919564.87,21791544952,16013209542.84,10397746420.82,5370179720.15,18830739817.65,14687293422.03,9799689054.46,4173011924.2,12336164425.08,9282393382.59,6889593147.71,2652278357.03,7160906229.5,5897507732.05,4380755479.71,1795570345.19,6075520510.72,5305959144.12,3904946419.24,1704811540.33,5390384855.03


科目\时间,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
货币资金(元),50743255374.4,36091090060.9,27075309623.01,25452397286.65,19682973020.9,13251817237.85,112728862159.17,115557859884.77,111684417477.61,112074791420.06,100750857255.34,83660170568.71,87211373700.73,87868869913.34,80964678997.12,73635347053.15,72708333794.74,66854962118.22,61999742903.47,47528057097.45,43775736151.7,36800749895.06,30536117619.71,30236504717.38,28420683403.89,27710717680.21,22795906975.31,21095077301.21,23364071644.09,25185009331.68,22011372945.09,18274962102.51,21735234696.97,22061999850.17,18690032974.06,20981859110.76,18851427038.66,18254690162.04,18288326258.07,17291687378.52,15998489422.76,12888393889.29,11026669577.42,10268861587.44,9980435183.57,9743152155.24,7895280562.8,7795808371.21,7662321131.3,8093721891.16
流动资产合计(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产合计(元),15978639282.83,16225082847.29,14650777181.74,14872913965.35,15005339642.37,15144182726.19,14815012375.1,15013818268.24,15122025008.16,15248556585.02,14812649901.59,14906697070.37,15179337572.51,15244096632.02,14851183242.59,15035615814.03,15197596002.52,14453177439.34,11249022570.67,11357781630.61,11485879409.51,11415953189.72,10891205189.39,10376471791.04,10438792823.57,10375757771.59,9003408249.86,8917854215.12,8768403594.12,8523256960.11,7165765337.16,7047000358.42,6984113447.43,6807333231.09,5838430602.05,5698697789.66,5489821741.05,5426012349.61,4703882763.38,4268588603.66,4218762324.31,4191851111.97,3754654673.63,3731222904.12,3223949711.7,3168725156.29,2420836029.88,2285285756.65,2247266187.8,2190171911.89
非流动资产合计(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
